,PROFILE,X,Y,LONG,LAT,Z,S
79,AB,-6198.296318473423,-3102.143925125399,-55.68024318386436,-26.984431723890214,-212.566844164661,1.0
493,AH,-5643.208091935242,-3098.700107053571,-50.69380080452389,-26.956712432113978,-195.35202315135058,1.0
557,AI,-5722.633250649916,-3097.5249125145224,-51.407289144694,-26.94725171318095,-200.64826638870426,1.0
1009,AR,-6454.829905574908,-3096.108585340538,-57.98472360569706,-26.93584872726389,-505.6029441646865,1.0
15,AA,-6329.350677829539,-3096.019478831168,-56.857524524465276,-26.935131283236537,-533.250023767765,1.0
2220,Z,-6470.0791835512755,-3095.232662202533,-58.12171020047665,-26.928796002743827,-484.36884314988976,1.0
703,AK,-5878.720125817095,-3094.867639686679,-52.80944140082532,-26.92585679679396,-200.78992401595795,1.0
824,AM,-6041.10139211347,-3094.357537692807,-54.26813713451248,-26.921749263487214,-199.83603434239535,1.0
872,AN,-6126.342141189976,-3093.677003250366,-55.033867811764715,-26.916269108628274,-229.3168746122106,1.0
630,AJ,-5810.177935076093,-3093.208283252796,-52.19371642532854,-26.912494480247048,-200.57004881210662,1.0
16,AA,-6317.041919306693,-3091.5345507033267,-56.74695306536918,-26.899014777265833,-485.2466709634542,1.0
17,AA,-6317.019109021106,-3091.52623934591,-56.74674815708741,-26.8989478362115,-436.68492485997047,1.0
916,AO,-6213.485545626518,-3090.149632960153,-55.816690332920246,-26.887859866232333,-340.51899256392176,1.0
1042,AS,-6545.580323575825,-3088.8916097110955,-58.79994848100165,-26.877726070476577,-474.8491593368259,1.0
768,AL,-5968.9690861088075,-3087.43221925636,-53.620161604884736,-26.86596904447979,-201.5353163238984,1.0
2221,Z,-6447.644631431146,-3087.048133222833,-57.920177189857775,-26.862874595590363,-508.9340409446235,1.0
430,AG,-5582.382390108567,-3085.9631702723914,-50.147394228341895,-26.854132960600893,-201.3002525067442,1.0
978,AQ,-6382.0987531275405,-3085.874539944566,-57.331368546946095,-26.85341882866217,-575.4652281044671,1.0
18,AA,-6299.58271676156,-3085.1729612352256,-56.59011438042088,-26.847765752331323,-413.28124362505486,1.0
1008,AR,-6472.703323865793,-3082.431534822295,-58.14528325399871,-26.82567355964353,-477.07974327030075,1.0
915,AO,-6224.384294481818,-3081.8070938576957,-55.91459545966521,-26.820640800216687,-379.4621539462375,1.0
2222,Z,-6431.1164612911225,-3081.0183588476593,-57.77170211130465,-26.814283569676288,-551.3331112515884,1.0
19,AA,-6287.796253529297,-3080.8783412392263,-56.48423477974833,-26.813154985407905,-412.1835746096482,1.0
80,AB,-6137.847377486974,-3080.1772117490736,-55.1372211078947,-26.80750349888426,-200.21018202094572,1.0
1074,AT,-6641.93527223547,-3078.6142834847915,-59.66551971181677,-26.794904419058895,-460.1369821411323,1.0
948,AP,-6311.578665345794,-3078.208511766936,-56.697875820028166,-26.791633180167878,-431.92442393821415,1.0
492,AH,-5670.350799676668,-3077.9106556584834,-50.93762789668902,-26.789231871601384,-195.35202315135058,1.0
556,AI,-5752.827127332456,-3074.362943094693,-51.67852535380146,-26.76062635284807,-202.51232874227787,1.0
2223,Z,-6411.917024767833,-3074.0140583482616,-57.59923063855112,-26.757812871135773,-574.4360174602575,1.0
629,AJ,-5838.55818435526,-3071.463102076223,-52.448660542274524,-26.73723927144835,-200.76589989681932,1.0
1102,AU,-6738.914420040979,-3070.8155442785514,-60.53669821896252,-26.732016084159756,-459.06017000886607,1.0
914,AO,-6240.558161743169,-3069.4266709433564,-56.059887781307125,-26.72081264425872,-420.6524974429692,1.0
